img,true classes,predicted classes,accuracy
/Users/xinyeegoh/Programming/python/ComputerVisionProject/PytorchCorrespondanceAndClassification/Classification/Methods/SIFT_svm/../../../Data/ProcessedData/SIFT_try/Testing/Bad_seeds/S10/Seed1/top.jpg,BadSeed,BadSeed,True
/Users/xinyeegoh/Programming/python/ComputerVisionProject/PytorchCorrespondanceAndClassification/Classification/Methods/SIFT_svm/../../../Data/ProcessedData/SIFT_try/Testing/Bad_seeds/S10/Seed1/right.jpg,BadSeed,BadSeed,True
/Users/xinyeegoh/Programming/python/ComputerVisionProject/PytorchCorrespondanceAndClassification/Classification/Methods/SIFT_svm/../../../Data/ProcessedData/SIFT_try/Testing/Bad_seeds/S10/Seed1/left.jpg,BadSeed,BadSeed,True
/Users/xinyeegoh/Programming/python/ComputerVisionProject/PytorchCorrespondanceAndClassification/Classification/Methods/SIFT_svm/../../../Data/ProcessedData/SIFT_try/Testing/Bad_seeds/S10/Seed1/front.jpg,BadSeed,BadSeed,True
/Users/xinyeegoh/Programming/python/ComputerVisionProject/PytorchCorrespondanceAndClassification/Classification/Methods/SIFT_svm/../../../Data/ProcessedData/SIFT_try/Testing/Bad_seeds/S10/Seed1/rear.jpg,BadSeed,BadSeed,True
/Users/xinyeegoh/Programming/python/ComputerVisionProject/PytorchCorrespondanceAndClassification/Classification/Methods/SIFT_svm/../../../Data/ProcessedData/SIFT_try/Testing/Bad_seeds/S10/Seed2/top.jpg,BadSeed,BadSeed,True
/Users/xinyeegoh/Programming/python/ComputerVisionProject/PytorchCorrespondanceAndClassification/Classification/Methods/SIFT_svm/../../../Data/ProcessedData/SIFT_try/Testing/Bad_seeds/S10/Seed2/right.jpg,BadSeed,BadSeed,True
/Users/xinyeegoh/Programming/python/ComputerVisionProject/PytorchCorrespondanceAndClassification/Classification/Methods/SIFT_svm/../../../Data/ProcessedData/SIFT_try/Testing/Bad_seeds/S10/Seed2/left.jpg,BadSeed,BadSeed,True
/Users/xinyeegoh/Programming/python/ComputerVisionProject/PytorchCorrespondanceAndClassification/Classification/Methods/SIFT_svm/../../../Data/ProcessedData/SIFT_try/Testing/Bad_seeds/S10/Seed2/front.jpg,BadSeed,GoodSeed,False
/Users/xinyeegoh/Programming/python/ComputerVisionProject/PytorchCorrespondanceAndClassification/Classification/Methods/SIFT_svm/../../../Data/ProcessedData/SIFT_try/Testing/Bad_seeds/S10/Seed2/rear.jpg,BadSeed,GoodSeed,False
/Users/xinyeegoh/Programming/python/ComputerVisionProject/PytorchCorrespondanceAndClassification/Classification/Methods/SIFT_svm/../../../Data/ProcessedData/SIFT_try/Testing/Bad_seeds/S10/Seed3/top.jpg,BadSeed,GoodSeed,False
/Users/xinyeegoh/Programming/python/ComputerVisionProject/PytorchCorrespondanceAndClassification/Classification/Methods/SIFT_svm/../../../Data/ProcessedData/SIFT_try/Testing/Bad_seeds/S10/Seed3/right.jpg,BadSeed,GoodSeed,False
/Users/xinyeegoh/Programming/python/ComputerVisionProject/PytorchCorrespondanceAndClassification/Classification/Methods/SIFT_svm/../../../Data/ProcessedData/SIFT_try/Testing/Bad_seeds/S10/Seed3/left.jpg,BadSeed,GoodSeed,False
/Users/xinyeegoh/Programming/python/ComputerVisionProject/PytorchCorrespondanceAndClassification/Classification/Methods/SIFT_svm/../../../Data/ProcessedData/SIFT_try/Testing/Bad_seeds/S10/Seed3/front.jpg,BadSeed,GoodSeed,False
/Users/xinyeegoh/Programming/python/ComputerVisionProject/PytorchCorrespondanceAndClassification/Classification/Methods/SIFT_svm/../../../Data/ProcessedData/SIFT_try/Testing/Bad_seeds/S10/Seed3/rear.jpg,BadSeed,GoodSeed,False
/Users/xinyeegoh/Programming/python/ComputerVisionProject/PytorchCorrespondanceAndClassification/Classification/Methods/SIFT_svm/../../../Data/ProcessedData/SIFT_try/Testing/Bad_seeds/S10/Seed4/top.jpg,BadSeed,GoodSeed,False
/Users/xinyeegoh/Programming/python/ComputerVisionProject/PytorchCorrespondanceAndClassification/Classification/Methods/SIFT_svm/../../../Data/ProcessedData/SIFT_try/Testing/Bad_seeds/S10/Seed4/right.jpg,BadSeed,GoodSeed,False
/Users/xinyeegoh/Programming/python/ComputerVisionProject/PytorchCorrespondanceAndClassification/Classification/Methods/SIFT_svm/../../../Data/ProcessedData/SIFT_try/Testing/Bad_seeds/S10/Seed4/left.jpg,BadSeed,GoodSeed,False
/Users/xinyeegoh/Programming/python/ComputerVisionProject/PytorchCorrespondanceAndClassification/Classification/Methods/SIFT_svm/../../../Data/ProcessedData/SIFT_try/Testing/Bad_seeds/S10/Seed4/front.jpg,BadSeed,BadSeed,True
/Users/xinyeegoh/Programming/python/ComputerVisionProject/PytorchCorrespondanceAndClassification/Classification/Methods/SIFT_svm/../../../Data/ProcessedData/SIFT_try/Testing/Bad_seeds/S10/Seed4/rear.jpg,BadSeed,GoodSeed,False
/Users/xinyeegoh/Programming/python/ComputerVisionProject/PytorchCorrespondanceAndClassification/Classification/Methods/SIFT_svm/../../../Data/ProcessedData/SIFT_try/Testing/Bad_seeds/S10/Seed5/top.jpg,BadSeed,GoodSeed,False
/Users/xinyeegoh/Programming/python/ComputerVisionProject/PytorchCorrespondanceAndClassification/Classification/Methods/SIFT_svm/../../../Data/ProcessedData/SIFT_try/Testing/Bad_seeds/S10/Seed5/right.jpg,BadSeed,GoodSeed,False
/Users/xinyeegoh/Programming/python/ComputerVisionProject/PytorchCorrespondanceAndClassification/Classification/Methods/SIFT_svm/../../../Data/ProcessedData/SIFT_try/Testing/Bad_seeds/S10/Seed5/left.jpg,BadSeed,GoodSeed,False
/Users/xinyeegoh/Programming/python/ComputerVisionProject/PytorchCorrespondanceAndClassification/Classification/Methods/SIFT_svm/../../../Data/ProcessedData/SIFT_try/Testing/Bad_seeds/S10/Seed5/front.jpg,BadSeed,GoodSeed,False
/Users/xinyeegoh/Programming/python/ComputerVisionProject/PytorchCorrespondanceAndClassification/Classification/Methods/SIFT_svm/../../../Data/ProcessedData/SIFT_try/Testing/Bad_seeds/S10/Seed5/rear.jpg,BadSeed,GoodSeed,False
/Users/xinyeegoh/Programming/python/ComputerVisionProject/PytorchCorrespondanceAndClassification/Classification/Methods/SIFT_svm/../../../Data/ProcessedData/SIFT_try/Testing/Bad_seeds/S10/Seed6/top.jpg,BadSeed,BadSeed,True
/Users/xinyeegoh/Programming/python/ComputerVisionProject/PytorchCorrespondanceAndClassification/Classification/Methods/SIFT_svm/../../../Data/ProcessedData/SIFT_try/Testing/Bad_seeds/S10/Seed6/right.jpg,BadSeed,GoodSeed,False
/Users/xinyeegoh/Programming/python/ComputerVisionProject/PytorchCorrespondanceAndClassification/Classification/Methods/SIFT_svm/../../../Data/ProcessedData/SIFT_try/Testing/Bad_seeds/S10/Seed6/left.jpg,BadSeed,GoodSeed,False
/Users/xinyeegoh/Programming/python/ComputerVisionProject/PytorchCorrespondanceAndClassification/Classification/Methods/SIFT_svm/../../../Data/ProcessedData/SIFT_try/Testing/Bad_seeds/S10/Seed6/front.jpg,BadSeed,GoodSeed,False
/Users/xinyeegoh/Programming/python/ComputerVisionProject/PytorchCorrespondanceAndClassification/Classification/Methods/SIFT_svm/../../../Data/ProcessedData/SIFT_try/Testing/Bad_seeds/S10/Seed6/rear.jpg,BadSeed,GoodSeed,False
